Player,First,Last,Nickname,Ht,Wt,Reach,Stance,DOB,W,L,D,Belt,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Cyborg Abreu,Cyborg,Abreu,,--,--,--,,"Dec 20, 1980",0,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel Acacio,Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",30,18,0,,3.52,36%,2.85,62%,0.33,20%,81%,0.0,http://www.ufcstats.com/fighter-details/1c5879330d42255f
John Adajar,John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,"Jun 22, 1991",6,2,0,,3.90,52%,6.28,44%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/989b85f6540c86b1
Scott Adams,Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,--,8,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/2620f3eb21c79614
Juan Adams,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,"Jan 16, 1992",5,3,0,,7.09,55%,4.06,34%,0.91,66%,57%,0.0,http://www.ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony Adams,Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,"Jan 13, 1988",8,2,0,,3.17,41%,5.93,44%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a77633a989013265
Zarrukh Adashev,Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,"Jul 29, 1992",4,4,0,,3.65,40%,3.04,64%,0.00,0%,100%,0.5,http://www.ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel Adesanya,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,"Jul 22, 1989",24,5,0,,4.02,48%,3.20,55%,0.05,11%,76%,0.1,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e
Sam Adkins,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",7,20,2,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/0e9869d712e81f8f
Mohamed Ado,Mohamed,Ado,,"5' 11""",170 lbs.,"76.0""",Switch,"May 03, 2000",5,1,0,,1.66,83%,0.33,75%,4.97,50%,50%,5.0,http://www.ufcstats.com/fighter-details/7a846fcbf182a7c8
Nick Agallar,Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",24,6,0,,0.69,11%,4.56,42%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb
