Player,First,Last,Nickname,Ht,Wt,Reach,Stance,DOB,W,L,D,Belt,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Cyborg Abreu,Cyborg,Abreu,,--,--,--,,"Dec 20, 1980",0,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel Acacio,Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",30,18,0,,3.52,36%,2.85,62%,0.33,20%,81%,0.0,http://www.ufcstats.com/fighter-details/1c5879330d42255f
John Adajar,John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,"Jun 22, 1991",6,2,0,,3.90,52%,6.28,44%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/989b85f6540c86b1
Scott Adams,Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,--,8,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/2620f3eb21c79614
Juan Adams,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,"Jan 16, 1992",5,3,0,,7.09,55%,4.06,34%,0.91,66%,57%,0.0,http://www.ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony Adams,Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,"Jan 13, 1988",8,2,0,,3.17,41%,5.93,44%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a77633a989013265
Zarrukh Adashev,Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,"Jul 29, 1992",4,4,0,,3.65,40%,3.04,64%,0.00,0%,100%,0.5,http://www.ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel Adesanya,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,"Jul 22, 1989",24,5,0,,4.02,48%,3.20,55%,0.05,11%,76%,0.1,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e
Sam Adkins,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",7,20,2,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/0e9869d712e81f8f
Mohamed Ado,Mohamed,Ado,,"5' 11""",170 lbs.,"76.0""",Switch,"May 03, 2000",5,1,0,,1.66,83%,0.33,75%,4.97,50%,50%,5.0,http://www.ufcstats.com/fighter-details/7a846fcbf182a7c8
Nick Agallar,Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",24,6,0,,0.69,11%,4.56,42%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb
Niklas Backstrom,Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,"Aug 22, 1989",11,3,0,,1.12,41%,3.65,40%,2.92,80%,72%,2.2,http://www.ufcstats.com/fighter-details/39cc64bf0a269db9
Seth Baczynski,Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,"Oct 26, 1981",20,14,0,,3.08,31%,3.14,51%,0.89,16%,48%,0.8,http://www.ufcstats.com/fighter-details/fd5b6598a3b70c0a
Abdul Azeem Badakhshi,Abdul Azeem,Badakhshi,The Afghan Lion,--,145 lbs.,--,,--,13,3,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/968764372c49eab6
Ryan Bader,Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,"Jun 07, 1983",23,5,0,,2.82,43%,1.39,71%,3.37,44%,80%,0.4,http://www.ufcstats.com/fighter-details/c0ab242c40decc55
Izabela Badurek,Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,"Jul 11, 1991",6,3,0,,3.74,71%,4.90,32%,1.75,12%,100%,0.0,http://www.ufcstats.com/fighter-details/4fcf6e0c4e0e6664
Miguel Baeza,Miguel,Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,"Aug 23, 1992",10,4,0,,4.09,49%,5.92,46%,0.36,22%,54%,2.0,http://www.ufcstats.com/fighter-details/82d4c957649faf9b
Ali Bagautinov,Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,"Jun 10, 1985",15,6,0,,2.85,42%,3.09,52%,2.51,36%,65%,0.3,http://www.ufcstats.com/fighter-details/3dd92ff9fb0412b3
Mehdi Baghdad,Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,"Apr 13, 1985",11,5,0,,3.13,30%,4.56,46%,0.00,0%,33%,0.0,http://www.ufcstats.com/fighter-details/e4d2564ea0e34e2b
Melsik Baghdasaryan,Melsik,Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,"Jan 28, 1992",8,3,0,,5.04,59%,3.14,56%,0.00,0%,72%,0.0,http://www.ufcstats.com/fighter-details/a52bc1e62cf0b7c6
Siyar Bahadurzada,Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,"Apr 17, 1984",24,8,1,,2.91,40%,3.23,49%,1.32,61%,62%,0.3,http://www.ufcstats.com/fighter-details/aec185309b4843d0
Ignacio Bahamondes,Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,"Aug 27, 1997",17,6,0,,6.55,45%,4.33,56%,0.00,0%,75%,0.4,http://www.ufcstats.com/fighter-details/e4a47b07044ddd72
Bahatebole Batebolati,Bahatebole,Batebolati,Lion King,"5' 8""",170 lbs.,"71.0""",Southpaw,"Sep 12, 1997",10,1,1,,4.02,45%,4.83,61%,1.34,66%,100%,0.0,http://www.ufcstats.com/fighter-details/8f313e9c3a39c06e
Shamar Bailey,Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,"Sep 22, 1982",16,11,0,,1.56,20%,3.91,69%,1.50,33%,37%,0.0,http://www.ufcstats.com/fighter-details/e2b8186b618b00c4
Jordan Bailey,Jordan,Bailey,,"5' 9""",145 lbs.,--,,--,6,3,0,,1.74,40%,0.29,0%,4.35,100%,0%,4.3,http://www.ufcstats.com/fighter-details/34dbcd4dbaf21a36
Scott Baker,Scott,Baker,,"6' 0""",210 lbs.,--,,--,1,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7d5b12de1625984e
Bryan Baker,Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,"Oct 13, 1985",18,5,0,,1.78,52%,2.83,45%,0.44,50%,37%,0.9,http://www.ufcstats.com/fighter-details/898337ef520fe4d3
Jin Bala,Jin,Bala,,"5' 9""",155 lbs.,--,,--,23,3,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/371efa53bd0cf669
Balajin,,Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72.0""",Orthodox,"Mar 31, 1992",23,4,0,,1.40,33%,2.73,50%,2.00,20%,66%,0.0,http://www.ufcstats.com/fighter-details/e626e92a8f2a9737
Eros Baluyot,Eros,Baluyot,,--,125 lbs.,--,,"Oct 23, 1992",7,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/3497f4c29654862c
Oluwale Bamgbose,Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,"Aug 04, 1987",6,4,0,,2.45,48%,2.70,55%,0.94,33%,37%,0.0,http://www.ufcstats.com/fighter-details/04b39f4e8eb59d7c
Stephen Banaszak,Stephen,Banaszak,,"6' 0""",145 lbs.,--,,"Dec 07, 1990",5,5,0,,4.20,47%,1.15,66%,0.00,0%,100%,1.9,http://www.ufcstats.com/fighter-details/4c4b44e3cf5815b3
Marcin Bandel,Marcin,Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,"Oct 10, 1989",15,7,0,,0.79,50%,5.26,23%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/5c2ce761399dc9c5
Humberto Bandenay,Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,"Sep 04, 1994",14,7,0,,2.22,41%,4.79,41%,2.90,46%,62%,0.5,http://www.ufcstats.com/fighter-details/2c2caf2f2bab9df5
Tae Hyun Bang,Tae Hyun,Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,"Apr 15, 1983",18,10,0,,2.72,38%,2.07,66%,0.49,33%,57%,0.5,http://www.ufcstats.com/fighter-details/9a2d3567abc02e34
Yohan Banks,Yohan,Banks,,--,--,--,,--,2,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/c50ea21fe9ef478d
Yan Cabral,Yan,Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,"May 13, 1983",13,3,0,,2.02,47%,1.98,62%,2.89,35%,37%,1.2,http://www.ufcstats.com/fighter-details/7cdd3e5d3aa9cb39
Juan Cabrera,Juan,Cabrera,Papi Juancho,--,185 lbs.,--,,"Feb 19, 2004",9,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/601f8439a0277670
Alvin Cacdac,Alvin,Cacdac,,"5' 6""",125 lbs.,--,Orthodox,--,18,13,0,,1.21,66%,0.61,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ce7871949b0ed2bf
Alex Caceres,Alex,Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73.0""",Southpaw,"Jun 20, 1988",21,15,0,,4.21,49%,3.09,62%,0.54,68%,64%,0.7,http://www.ufcstats.com/fighter-details/7aa3d6964eff4877
Vince Cachero,Vince,Cachero,The Anomaly,"5' 6""",145 lbs.,"68.0""",Orthodox,"Nov 07, 1989",7,4,0,,3.29,45%,6.51,43%,0.00,0%,18%,0.5,http://www.ufcstats.com/fighter-details/ed2a8cc402173781
Priscila Cachoeira,Priscila,Cachoeira,Zombie Girl,"5' 7""",135 lbs.,"65.0""",Orthodox,"Aug 19, 1988",13,8,0,,4.43,44%,7.60,45%,0.25,40%,69%,0.0,http://www.ufcstats.com/fighter-details/b1e5bcaad32a3cac
Yudi Cahyadi,Yudi,Cahyadi,Sanda,--,145 lbs.,--,,--,7,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8c457cf7da551d4b
Travis Calanoc,Travis,Calanoc,The Dark Knight,"5' 8""",145 lbs.,--,Orthodox,--,5,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/90d28fee0af74f2d
Ricky Calatayud,Ricky,Calatayud,,"5' 9""",125 lbs.,--,,"Oct 10, 1982",16,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/800feaa25700a85f
Lucas Caldas,Lucas,Caldas,,"5' 8""",155 lbs.,"70.0""",Orthodox,"May 22, 1996",6,2,0,,4.80,41%,15.67,39%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8661578c8bb80f51
Carlos Calderon,Carlos,Calderon,Chief,"5' 11""",145 lbs.,"71.0""",Southpaw,"Feb 10, 1996",6,3,0,,4.85,42%,4.98,33%,3.93,33%,0%,0.0,http://www.ufcstats.com/fighter-details/7d4d7583df7eebf9
Darrion Caldwell,Darrion,Caldwell,The Wolf,"5' 10""",135 lbs.,--,,"Dec 19, 1987",10,1,0,,0.85,34%,0.57,60%,3.41,66%,100%,0.8,http://www.ufcstats.com/fighter-details/b7dc25ee40ee8334
Nicolle Caliari,Nicolle,Caliari,,"5' 3""",125 lbs.,"62.0""",Orthodox,"Nov 04, 1996",8,4,0,,3.46,38%,7.01,53%,2.88,24%,0%,1.0,http://www.ufcstats.com/fighter-details/fc0a4053eb8a3a59
Taylor Callens,Taylor,Callens,,"5' 10""",155 lbs.,--,,"May 21, 1991",6,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/53d471e9bf5f2fc8
Cynthia Calvillo,Cynthia,Calvillo,,"5' 4""",115 lbs.,"64.0""",Orthodox,"Jul 13, 1987",9,6,1,,4.41,38%,4.12,64%,1.80,44%,77%,0.8,http://www.ufcstats.com/fighter-details/98215d037be5bcb7
Joe Camacho,Joe,Camacho,,"5' 9""",155 lbs.,--,Orthodox,"Mar 10, 1972",13,19,3,,0.31,17%,5.00,42%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/dfb965c9824425db
Frank Camacho,Frank,Camacho,The Crank,"5' 10""",155 lbs.,"73.0""",Orthodox,"May 18, 1989",22,10,0,,6.56,46%,7.44,51%,1.11,31%,73%,0.0,http://www.ufcstats.com/fighter-details/764342d39cdaa54a
Lucas Camacho,Lucas,Camacho,,"6' 4""",265 lbs.,"80.0""",Orthodox,"Dec 15, 1992",6,1,0,,4.08,38%,8.16,6%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/71d25689f70e4036
Matheus Camilo,Matheus,Camilo,Jaguar,"5' 10""",155 lbs.,"69.0""",Orthodox,"Jan 02, 2001",10,3,0,,2.19,43%,3.25,64%,4.43,53%,0%,0.6,http://www.ufcstats.com/fighter-details/72f890c5d421e705
Fabricio Camoes,Fabricio,Camoes,Morango,"5' 10""",155 lbs.,"71.0""",Orthodox,"Dec 23, 1978",14,9,1,,1.29,33%,1.85,61%,2.34,32%,20%,1.5,http://www.ufcstats.com/fighter-details/7abe471b61725980
Chris Camozzi,Chris,Camozzi,,"6' 2""",185 lbs.,"75.0""",Orthodox,"Nov 20, 1986",24,13,0,,3.57,44%,2.96,56%,0.27,19%,57%,0.5,http://www.ufcstats.com/fighter-details/6c2030e0a143a94b
Brian Camozzi,Brian,Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,"Jun 24, 1991",7,5,0,,3.15,26%,6.39,54%,0.00,0%,0%,0.7,http://www.ufcstats.com/fighter-details/1999ffb5cebc314f
Ricky Camp,Ricky,Camp,2 Slick,"5' 7""",135 lbs.,--,,--,11,4,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4a99978a0366bb29
Mike Campbell,Mike,Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,"Nov 15, 1982",13,4,0,,1.40,26%,1.40,63%,5.26,100%,0%,0.0,http://www.ufcstats.com/fighter-details/f5585e675af7afd4
Thomas Campbell,Thomas,Campbell,,--,--,--,,--,3,3,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d060014a5a039829
Sarah D'alelio,Sarah,D'alelio,The Monster,"5' 7""",145 lbs.,--,,"Dec 13, 1980",11,7,0,,2.40,33%,0.00,100%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/ac45450f75d14f16
Marcos da Matta,Marcos,da Matta,Parrumpinha,"5' 4""",145 lbs.,--,,"Mar 18, 1973",11,3,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/3b6d84343579fd33
Henrique da Silva,Henrique,da Silva,Frankenstein,"6' 3""",205 lbs.,"76.0""",Orthodox,"Sep 01, 1989",14,5,0,,3.89,60%,5.28,40%,0.25,14%,22%,0.2,http://www.ufcstats.com/fighter-details/b0bd0c5425668b8f
Ariane da Silva,Ariane,da Silva,Queen of Violence,"5' 6""",125 lbs.,"67.0""",Orthodox,"Jan 26, 1994",17,11,0,,4.05,41%,4.40,50%,0.47,38%,68%,0.3,http://www.ufcstats.com/fighter-details/6551c64fbcd1a467
Alex Da Silva,Alex,Da Silva,Leko,"5' 8""",155 lbs.,"73.0""",Orthodox,"Feb 04, 1996",21,4,0,,2.14,46%,2.52,56%,1.97,43%,76%,0.3,http://www.ufcstats.com/fighter-details/c3ded6f7155f9ea4
Radley Da Silva,Radley,Da Silva,Snake Eyes,"5' 9""",145 lbs.,"71.0""",Orthodox,"Jun 20, 1995",8,1,0,,0.27,22%,0.93,48%,6.00,100%,100%,0.0,http://www.ufcstats.com/fighter-details/0d68c7bfdff1dc34
Henrique Da Silva Lopes,Henrique,Da Silva Lopes,Montanha,"6' 3""",240 lbs.,--,,"Mar 08, 1985",5,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/1f8cd7634e8286ff
Deni Daffa,Deni,Daffa,,"6' 0""",155 lbs.,"74.0""",Orthodox,"Sep 08, 1999",6,2,0,,3.47,38%,6.45,38%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d28bef63e7d8d536
Nicolas Dalby,Nicolas,Dalby,Lokomotivo,"5' 11""",170 lbs.,"74.0""",Orthodox,"Nov 16, 1984",24,6,1,,3.88,43%,3.51,52%,0.90,26%,59%,0.1,http://www.ufcstats.com/fighter-details/9d19d9e4aa2662e8
Paul Daley,Paul,Daley,Semtex,"5' 9""",170 lbs.,"76.0""",Orthodox,"Feb 21, 1983",39,15,2,,3.14,47%,2.37,60%,0.91,40%,64%,0.0,http://www.ufcstats.com/fighter-details/23725c826c481e7f
Dave Dalgliesh,Dave,Dalgliesh,,"6' 2""",205 lbs.,--,Orthodox,"Apr 05, 1978",30,19,2,,0.00,0%,1.85,50%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ddbd0d6259ce57cc
Richard Dalton,Richard,Dalton,,"6' 1""",205 lbs.,--,Orthodox,"Jul 19, 1977",4,3,1,,1.20,69%,3.27,25%,1.00,11%,0%,0.0,http://www.ufcstats.com/fighter-details/6cd3dfc54f01287f
Aisling Daly,Aisling,Daly,Ais the Bash,"5' 2""",115 lbs.,"64.0""",Orthodox,"Dec 24, 1987",16,6,0,,2.92,52%,1.40,55%,2.15,41%,33%,0.9,http://www.ufcstats.com/fighter-details/e50cd77732d39967
Marko Damiani,Marko,Damiani,,"6' 0""",170 lbs.,--,,--,0,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/6e9b5c74c0860deb
Leonardo Damiani,Leonardo,Damiani,Puppy,"5' 10""",170 lbs.,"69.0""",Orthodox,"Aug 30, 1990",10,3,1,,1.67,23%,4.17,37%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/acd870570949d8a2
Rodrigo Damm,Rodrigo,Damm,,"5' 7""",155 lbs.,"71.0""",Orthodox,"Feb 03, 1980",13,9,0,,3.50,36%,5.61,57%,0.44,16%,80%,0.3,http://www.ufcstats.com/fighter-details/a20d7dfaba74c067
Carina Damm,Carina,Damm,Beauty But the Beast,"5' 4""",135 lbs.,--,,--,2,13,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/033343da4c0cff8a
Batgerel Danaa,Batgerel,Danaa,Storm,"5' 7""",135 lbs.,"70.0""",Orthodox,"Jul 04, 1989",12,5,0,,5.38,36%,4.21,47%,0.52,50%,62%,0.0,http://www.ufcstats.com/fighter-details/3b0a516d2921e0d6
Cindy Dandois,Cindy,Dandois,Battlecat,"5' 7""",135 lbs.,--,Orthodox,"Oct 26, 1984",8,3,0,,3.13,32%,3.40,58%,5.00,55%,0%,0.0,http://www.ufcstats.com/fighter-details/9eef6584fab21fbb
Peter Danesoe,Peter,Danesoe,The Asian Viking,"5' 9""",135 lbs.,"68.0""",Orthodox,"Sep 01, 2000",8,4,0,,4.99,52%,6.73,38%,0.00,0%,62%,0.0,http://www.ufcstats.com/fighter-details/5f119b24c0f9679c
Jarjis Danho,Jarjis,Danho,Man Mountain,"6' 3""",265 lbs.,"74.0""",Orthodox,"Oct 15, 1983",7,1,1,,3.38,50%,5.25,49%,0.51,16%,100%,0.0,http://www.ufcstats.com/fighter-details/8614b7134913f5d5
Jose Daniel Medina,Jose,Daniel Medina,Chicho,"6' 0""",185 lbs.,"74.0""",Orthodox,"May 17, 1991",11,7,0,,2.13,36%,5.34,46%,0.39,33%,27%,0.0,http://www.ufcstats.com/fighter-details/baa9be02c3e3e038
Raymond Daniels,Raymond,Daniels,,"6' 2""",185 lbs.,--,Southpaw,"Apr 29, 1980",0,1,0,,0.00,0%,2.61,38%,0.00,0%,33%,3.0,http://www.ufcstats.com/fighter-details/fccb0fee256b7b4d
Marques Daniels,Marques,Daniels,,--,155 lbs.,--,,"Jun 14, 1978",5,5,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/55a80a9365bc107d
Anvarbek Daniyalbekov,Anvarbek,Daniyalbekov,,--,185 lbs.,--,,"May 27, 1995",8,0,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/859e0dafd04fe1ca
Ben Earwood,Ben,Earwood,,"5' 8""",170 lbs.,--,Orthodox,--,12,3,0,,0.50,55%,0.20,33%,3.00,100%,0%,0.0,http://www.ufcstats.com/fighter-details/ee457ef1e1c326c1
Cody East,Cody,East,The Freight Train,"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988",12,3,0,,4.15,43%,7.32,40%,3.97,100%,16%,0.0,http://www.ufcstats.com/fighter-details/5713c1d2fac539ac
Marvin Eastman,Marvin,Eastman,The Beastman,"5' 9""",185 lbs.,"73.0""",Orthodox,"Jun 08, 1971",18,15,1,,2.21,35%,3.92,42%,1.38,33%,81%,0.0,http://www.ufcstats.com/fighter-details/05866d8c3a321856
Mike Easton,Mike,Easton,The Hulk,"5' 6""",135 lbs.,"70.0""",Southpaw,"Jan 25, 1984",13,6,0,,3.51,37%,4.28,61%,0.75,22%,66%,0.0,http://www.ufcstats.com/fighter-details/bc7230f231701d66
Maurice Eazel,Maurice,Eazel,,"5' 7""",135 lbs.,--,,--,7,15,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4acb99524a9a81ab
Vincent Eazelle,Vincent,Eazelle,The Real Deal,"5' 11""",155 lbs.,--,,"Dec 07, 1980",9,2,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ec421d5de0aea624
Ross Ebanez,Ross,Ebanez,The Boss,"5' 9""",154 lbs.,--,Southpaw,"May 18, 1975",20,10,0,,0.74,50%,0.74,62%,3.70,100%,0%,0.0,http://www.ufcstats.com/fighter-details/a5b0bd216d8ba84e
Brian Ebersole,Brian,Ebersole,Bad Boy,"6' 0""",170 lbs.,"73.0""",Southpaw,"Nov 27, 1980",51,18,1,,2.32,49%,2.14,56%,1.70,23%,61%,0.1,http://www.ufcstats.com/fighter-details/32ba186f4b0e3267
Roybert Echeverria,Roybert,Echeverria,The Unbroken,"5' 5""",125 lbs.,"67.0""",Switch,"Aug 21, 1995",7,1,0,,2.95,53%,2.52,57%,0.00,0%,71%,2.6,http://www.ufcstats.com/fighter-details/20b13e96668caaa4
Mark Eddiva,Mark,Eddiva,,"5' 8""",145 lbs.,"68.0""",Orthodox,"Feb 16, 1986",6,3,0,,3.37,45%,2.98,54%,1.45,22%,63%,0.0,http://www.ufcstats.com/fighter-details/40ff198adda94b9f
Frankie Edgar,Frankie,Edgar,The Answer,"5' 6""",135 lbs.,"68.0""",Orthodox,"Oct 16, 1981",23,11,1,,3.77,40%,2.82,65%,2.29,31%,65%,0.3,http://www.ufcstats.com/fighter-details/f2688492b9a525a3
Abdul-Kerim Edilov,Abdul-Kerim,Edilov,,"6' 2""",205 lbs.,--,Orthodox,"Nov 25, 1991",17,4,0,,10.22,61%,0.13,92%,3.98,100%,0%,2.0,http://www.ufcstats.com/fighter-details/37e03538c960bac6
Johnny Eduardo,Johnny,Eduardo,,"5' 7""",135 lbs.,"71.0""",Orthodox,"Aug 03, 1978",28,13,0,,2.95,39%,3.22,63%,0.22,20%,58%,0.4,http://www.ufcstats.com/fighter-details/528c24b99fbaab79
Yves Edwards,Yves,Edwards,,"5' 9""",155 lbs.,"73.0""",Southpaw,"Sep 30, 1976",42,22,1,,2.91,42%,2.34,66%,0.76,53%,69%,0.7,http://www.ufcstats.com/fighter-details/5f04e3d58d9ce982
